ANIO;PROVINCIA;INV_ID_PESOS_CORR;
2018;Buenos Aires;24523;
2018;Catamarca;237;
2018;Chaco;452;
2018;Chubut;1079;
2018;Ciudad de Buenos Aires;19915;
2018;Córdoba;6480;
2018;Corrientes;569;
2018;Entre Ríos;928;
2018;Formosa;230;
2018;Jujuy;781;
2018;La Pampa;389;
2018;La Rioja;414;
2018;Mendoza;1909;
2018;Misiones;537;
2018;Neuquén;383;
2018;Río  Negro;2537;
2018;Salta;859;
2018;San Juan;487;
2018;San Luis;1150;
2018;Santa Cruz;289;
2018;Santa Fe;5128;
2018;Santiago del Estero;334;
2018;Tierra del Fuego;268;
2018;Tucumán;2120;
2019;Buenos Aires;31199;
2019;Catamarca;339;
2019;Chaco;698;
2019;Chubut;1214;
2019;Ciudad de Buenos Aires;31328;
2019;Córdoba;9471;
2019;Corrientes;805;
2019;Entre Ríos;1411;
2019;Formosa;317;
2019;Jujuy;927;
2019;La Pampa;678;
2019;La Rioja;658;
2019;Mendoza;2827;
2019;Misiones;914;
2019;Neuquén;562;
2019;Río  Negro;4334;
2019;Salta;1083;
2019;San Juan;728;
2019;San Luis;1700;
2019;Santa Cruz;469;
2019;Santa Fe;7669;
2019;Santiago del Estero;494;
2019;Tierra del Fuego;386;
2019;Tucumán;2868;
2020;Buenos Aires;47636;
2020;Catamarca;414;
2020;Chaco;1018;
2020;Chubut;1743;
2020;Ciudad de Buenos Aires;47738;
2020;Córdoba;12884;
2020;Corrientes;1101;
2020;Entre Ríos;1561;
2020;Formosa;610;
2020;Jujuy;1183;
2020;La Pampa;668;
2020;La Rioja;745;
2020;Mendoza;3482;
2020;Misiones;1221;
2020;Neuquén;984;
2020;Río  Negro;3957;
2020;Salta;1199;
2020;San Juan;923;
2020;San Luis;2155;
2020;Santa Cruz;558;
2020;Santa Fe;10342;
2020;Santiago del Estero;779;
2020;Tierra del Fuego;500;
2020;Tucumán;3872;
2021;Buenos Aires;82046;
2021;Catamarca;656;
2021;Chaco;1447;
2021;Chubut;2857;
2021;Ciudad de Buenos Aires;75675;
2021;Córdoba;20101;
2021;Corrientes;1711;
2021;Entre Ríos;2532;
2021;Formosa;813;
2021;Jujuy;1768;
2021;La Pampa;1153;
2021;La Rioja;1198;
2021;Mendoza;5370;
2021;Misiones;1838;
2021;Neuquén;1570;
2021;Río  Negro;6675;
2021;Salta;1909;
2021;San Juan;2383;
2021;San Luis;3364;
2021;Santa Cruz;792;
2021;Santa Fe;18066;
2021;Santiago del Estero;1024;
2021;Tierra del Fuego;763;
2021;Tucumán;6292;
2022;Buenos Aires;159414;
2022;Catamarca;1674;
2022;Chaco;2865;
2022;Chubut;5144;
2022;Ciudad de Buenos Aires;139786;
2022;Córdoba;36100;
2022;Corrientes;3084;
2022;Entre Ríos;4973;
2022;Formosa;1460;
2022;Jujuy;3416;
2022;La Pampa;1854;
2022;La Rioja;1728;
2022;Mendoza;9678;
2022;Misiones;3351;
2022;Neuquén;5038;
2022;Río  Negro;12329;
2022;Salta;3400;
2022;San Juan;4087;
2022;San Luis;5227;
2022;Santa Cruz;1548;
2022;Santa Fe;33989;
2022;Santiago del Estero;1614;
2022;Tierra del Fuego;2049;
2022;Tucumán;10377;
2023;Buenos Aires;404400;
2023;Catamarca;5878;
2023;Chaco;8314;
2023;Chubut;14577;
2023;Ciudad de Buenos Aires;341696;
2023;Córdoba;91011;
2023;Corrientes;9342;
2023;Entre Ríos;12869;
2023;Formosa;2932;
2023;Jujuy;7516;
2023;La Pampa;5442;
2023;La Rioja;6002;
2023;Mendoza;28146;
2023;Misiones;9386;
2023;Neuquén;7877;
2023;Río  Negro;25773;
2023;Salta;8196;
2023;San Juan;11122;
2023;San Luis;13563;
2023;Santa Cruz;4204;
2023;Santa Fe;88646;
2023;Santiago del Estero;3680;
2023;Tierra del Fuego;4855;
2023;Tucumán;28149;
2024;Buenos Aires;963634;
2024;Catamarca;8426;
2024;Chaco;16702;
2024;Chubut;32573;
2024;Ciudad de Buenos Aires;981905;
2024;Córdoba;241094;
2024;Corrientes;19755;
2024;Entre Ríos;27822;
2024;Formosa;3545;
2024;Jujuy;13306;
2024;La Pampa;11216;
2024;La Rioja;9076;
2024;Mendoza;61425;
2024;Misiones;19718;
2024;Neuquén;17228;
2024;Río  Negro;66222;
2024;Salta;22608;
2024;San Juan;22365;
2024;San Luis;36830;
2024;Santa Cruz;9593;
2024;Santa Fe;193100;
2024;Santiago del Estero;7847;
2024;Tierra del Fuego;10807;
2024;Tucumán;71507;
