organizacion_id;provincia_id
16802;06
16820;06
19116;06
11473;06
11648;06
12551;06
12654;06
13901;06
14491;06
14948;06
15092;06
19835;06
15161;06
1900;06
2309;06
3699;06
3700;06
3990;06
4594;06
4694;06
5419;06
5719;06
5797;06
5816;06
5830;06
6412;06
6652;06
6980;06
7964;06
9486;06
10526;06
10938;06
11574;06
12124;06
12397;06
12927;06
12992;06
13207;06
13348;06
13351;06
14375;06
14379;06
14859;06
15366;06
15367;06
15368;06
15369;06
15370;06
15371;06
15572;06
15574;06
15575;06
15576;06
15577;06
15578;06
15579;06
15580;06
15581;06
15584;06
15585;06
15586;06
15587;06
15588;06
15590;06
15608;06
15609;06
16622;06
16857;06
5110;06
11194;06
11963;06
12532;06
12577;06
12867;06
13170;06
13550;06
14361;06
14864;06
15416;06
18957;06
18958;06
18959;06
18960;06
18961;06
18962;06
18963;06
1780;06
7611;06
11535;06
12202;06
15013;06
11472;06
11869;06
12058;06
13263;06
19159;06
1631;06
2318;06
5943;06
10665;06
11376;06
13104;06
14897;06
11549;06
13591;06
18428;06
395;06
396;06
397;06
4555;06
4952;06
8470;06
9885;06
10137;06
10213;06
10846;06
12201;06
12369;06
12370;06
12664;06
12785;06
13296;06
14066;06
14207;06
14986;06
15233;06
15355;06
15356;06
15357;06
15358;06
15359;06
15360;06
17783;06
18330;06
18735;06
18939;06
18968;06
18972;06
12225;06
12855;06
12906;06
13318;06
14331;06
14380;06
16813;06
18240;06
16484;06
16485;06
17869;06
11454;06
12132;06
12667;06
13021;06
14408;06
14963;06
16828;06
9666;06
9667;06
9879;06
11527;06
11577;06
11743;06
11979;06
12782;06
12890;06
13002;06
13140;06
13528;06
13992;06
14224;06
14448;06
14534;06
14682;06
18120;06
1728;06
2312;06
5696;06
6565;06
7647;06
9193;06
9460;06
9878;06
11458;06
11511;06
11678;06
12210;06
12338;06
12559;06
12580;06
12937;06
13479;06
14477;06
15333;06
16033;06
16288;06
16554;06
16555;06
16556;06
17882;06
18124;06
18125;06
18126;06
19100;06
19484;06
19852;06
12256;06
12376;06
12778;06
13709;06
13968;06
14979;06
17409;06
18499;06
11841;06
17673;06
19010;06
11749;06
11826;06
11922;06
12154;06
12560;06
13142;06
14867;06
16659;06
18010;06
17916;06
19026;06
18922;06
19111;06
12746;06
14884;06
14074;06
9353;06
9354;06
9355;06
9356;06
9357;06
9358;06
9359;06
9360;06
9361;06
9362;06
9363;06
9364;06
9365;06
9366;06
9367;06
9368;06
9369;06
15228;06
15374;06
5009;06
17975;06
18220;06
18945;06
19206;06
19247;06
19507;06
11764;06
14553;06
19495;06
19566;06
8069;06
8070;06
8071;06
8838;06
9912;06
11518;06
11765;06
11860;06
12014;06
12988;06
14429;06
15005;06
15076;06
16061;06
16855;06
16859;06
17041;06
17042;06
17688;06
17864;06
17865;06
18017;06
18018;06
19469;06
19470;06
19513;06
19514;06
12668;06
18841;06
12117;06
17759;06
697;06
698;06
1642;06
1848;06
4520;06
4601;06
5515;06
6437;06
6869;06
6871;06
6872;06
8698;06
8789;06
8790;06
10108;06
11186;06
11187;06
11190;06
11368;06
11373;06
11374;06
11375;06
12026;06
13492;06
14005;06
14546;06
15105;06
15979;06
16544;06
16563;06
16750;06
16798;06
16883;06
17352;06
17689;06
17987;06
18367;06
18368;06
18369;06
18370;06
18371;06
18372;06
19056;06
19838;06
1084;06
1345;06
1364;06
1762;06
1951;06
6240;06
14447;06
17147;06
19055;06
16874;06
16875;06
17085;06
17846;06
1329;06
7100;06
9783;06
10001;06
11290;06
11855;06
11958;06
12807;06
13022;06
13531;06
14248;06
14638;06
14857;06
14889;06
16548;06
16702;06
16884;06
18211;06
19049;06
